liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment,Iteration
Viscosity_std_1275,p1000,1000,22.0610054,22.0610054,0,5,5,0,TRUE,FALSE,0.8736,107.5359101,22.2899,23.0243,0.7344,-15.93406593,,,1
Viscosity_std_1275,p1000,500,22.0610054,22.0610054,0,5,5,0,TRUE,FALSE,0.8736,61.99155688,23.7547,24.0639,0.3092,-29.21245421,incomplete aspiration,,1
Viscosity_std_1275,p1000,300,22.0610054,22.0610054,0,5,5,0,TRUE,FALSE,0.8736,43.8177526,24.3743,24.5392,0.1649,-37.08028083,,,1
Viscosity_std_1275,p1000,1000,27.57625675,27.57625675,0,5,5,0,TRUE,FALSE,0.8736,89.31624055,24.7042,25.368,0.6638,-24.01556777,,,2
Viscosity_std_1275,p1000,500,27.57625675,27.57625675,0,5,5,0,TRUE,FALSE,0.8736,52.86728692,26.0717,26.3708,0.2991,-31.52472527,,,2
Viscosity_std_1275,p1000,300,27.57625675,27.57625675,0,5,5,0,TRUE,FALSE,0.8736,38.35835218,26.6753,26.8462,0.1709,-34.79090354,,,2
Viscosity_std_1275,p1000,1000,27.57625675,2.20610054,0,5,5,0,TRUE,FALSE,0.8736,602.784389,27.0304,27.8645,0.8341,-4.521520147,,,3
Viscosity_std_1275,p1000,500,27.57625675,2.20610054,0,5,5,0,TRUE,FALSE,0.8736,310.8892231,28.6975,29.1199,0.4224,-3.296703297,,,3
Viscosity_std_1275,p1000,300,27.57625675,2.20610054,0,5,5,0,TRUE,FALSE,0.8736,194.5659213,29.5392,29.8167,0.2775,5.883699634,,,3
Viscosity_std_1275,p1000,1000,2.20610054,27.57625675,0,5,5,0,TRUE,FALSE,0.8736,611.2969193,30.09,30.8846,0.7946,-9.043040293,,,4
Viscosity_std_1275,p1000,500,2.20610054,27.57625675,0,5,5,0,TRUE,FALSE,0.8736,319.4314923,31.7062,32.0975,0.3913,-10.41666667,,,4
Viscosity_std_1275,p1000,300,2.20610054,27.57625675,0,5,5,0,TRUE,FALSE,0.8736,203.0939944,32.4895,32.7287,0.2392,-8.73015873,,,4
Viscosity_std_1275,p1000,1000,2.206101,2.206101,0,5,5,0,TRUE,FALSE,0.8736,1124.930756,26.8787,27.7698,0.8911,2.003205128,,,5
Viscosity_std_1275,p1000,500,2.206101,2.206101,0,5,5,0,TRUE,FALSE,0.8736,577.8054984,28.6801,29.1331,0.453,3.708791209,,,5
Viscosity_std_1275,p1000,300,2.206101,2.206101,0,5,5,0,TRUE,FALSE,0.8736,358.8604667,29.612,29.9167,0.3047,16.26221001,,,5
Viscosity_std_1275,p1000,1000,17.773599,8.753261,0,5,5,0,TRUE,FALSE,0.8736,190.4356236,21.4244,22.2013,0.7769,-11.06913919,Incomplete aspiration and dispense,,6
Viscosity_std_1275,p1000,500,19.852924,7.019483,0,5,5,0,TRUE,FALSE,0.8736,115.4719741,22.2013,22.6059,0.4046,-7.371794872,Incomplete aspiration and dispense,,6
Viscosity_std_1275,p1000,300,27.441505,10.158198,0,5,5,0,TRUE,FALSE,0.8736,57.44792175,22.6059,22.8047,0.1988,-24.14529915,Incomplete aspiration and dispense,Large air bubble,6
Viscosity_std_1275,p1000,1000,10.576051,15.933389,0,5,5,0,TRUE,FALSE,0.8736,177.2122359,22.8047,23.6085,0.8038,-7.98992674,Incomplete aspiration and dispense,,7
Viscosity_std_1275,p1000,500,12.501784,5.478683,0,5,5,0,TRUE,FALSE,0.8736,149.7204764,23.6085,24.0383,0.4298,-1.602564103,Within Tolerance,,7
Viscosity_std_1275,p1000,300,18.388306,6.144974,0,5,5,0,TRUE,FALSE,0.8736,84.44220614,24.0383,24.267,0.2287,-12.73656899,Incomplete aspiration and dispense,Large air bubble,7
Viscosity_std_1275,p1000,1000,5.923521,12.40528,0,5,5,0,TRUE,FALSE,0.8736,283.1490982,24.267,25.107,0.84,-3.846153846,Incomplete aspiration and dispense,,8
Viscosity_std_1275,p1000,500,9.544852,10.359428,0,5,5,0,TRUE,FALSE,0.8736,122.6790035,25.107,25.5149,0.4079,-6.616300366,Incomplete aspiration and dispense,,8
Viscosity_std_1275,p1000,300,5.766143,18.939569,0,5,5,0,TRUE,FALSE,0.8736,90.43455696,25.5149,25.7332,0.2183,-16.70482295,Incomplete aspiration and dispense,Large air bubble,8
Viscosity_std_1275,p1000,1000,7.477992,9.550622,0,5,5,0,TRUE,FALSE,0.8736,265.1468687,25.7332,26.5938,0.8606,-1.488095238,Within Tolerance,,9
Viscosity_std_1275,p1000,500,10.188814,5.016588,0,5,5,0,TRUE,FALSE,0.8736,177.8442438,26.5938,27.0263,0.4325,-0.984432234,Within Tolerance,,9
Viscosity_std_1275,p1000,300,15.258025,4.582396,0,5,5,0,TRUE,FALSE,0.8736,103.7270772,27.0263,27.22,0.1937,-5.83028083,Incomplete aspiration and dispense,Many air bubbles,9
Viscosity_std_1275,p1000,1000,7.974511,6.725232,0,5,5,0,TRUE,FALSE,0.8736,304.136857,27.22,28.1409,0.9209,5.414377289,Excess aspiration and dispense,,10
Viscosity_std_1275,p1000,500,10.869956,5.063828,0,5,5,0,TRUE,FALSE,0.8736,165.6579082,28.1409,28.5748,0.4339,-0.663919414,Within Tolerance,,10
Viscosity_std_1275,p1000,300,12.301982,7.362744,0,5,5,0,TRUE,FALSE,0.8736,84.38886762,25.101,25.3389,0.2379,-9.226190476,Incomplete aspiration and dispense,,10
Viscosity_std_1275,p1000,1000,5.712089,8.984055,0,5,5,0,TRUE,FALSE,0.8736,317.4668574,25.5409,26.4056,0.8647,-1.018772894,Within Tolerance,,11
Viscosity_std_1275,p1000,500,8.511187,5.359354,0,5,5,0,TRUE,FALSE,0.8736,179.2312727,26.4056,26.8551,0.4495,2.907509158,Excess aspiration and dispense,,11
Viscosity_std_1275,p1000,300,11.990811,6.090407,0,5,5,0,TRUE,FALSE,0.8736,94.03919506,25.3389,25.5901,0.2512,-4.151404151,Incomplete aspiration and dispense,,11
Viscosity_std_1275,p1000,1000,4.468908,17.068034,0,5,5,0,TRUE,FALSE,0.8736,323.2798445,27.0886,27.9195,0.8309,-4.887820513,Incomplete aspiration and dispense,,12
Viscosity_std_1275,p1000,500,27.423596,10.13501,0,5,5,0,TRUE,FALSE,0.8736,84.84751129,27.9195,28.2742,0.3547,-18.79578755,Incomplete aspiration and dispense,,12
Viscosity_std_1275,p1000,300,13.937434,4.916206,0,5,5,0,TRUE,FALSE,0.8736,105.9013016,25.5901,25.8381,0.248,-5.372405372,Incomplete aspiration and dispense,,12
Viscosity_std_1275,p1000,1000,5.214088,11.48955,0,5,5,0,TRUE,FALSE,0.8736,306.8276312,28.5042,29.3707,0.8665,-0.812728938,Within Tolerance,,13
Viscosity_std_1275,p1000,500,15.620719,5.253311,0,5,5,0,TRUE,FALSE,0.8736,149.6711378,29.3707,29.7921,0.4214,-3.525641026,Incomplete aspiration and dispense,,13
Viscosity_std_1275,p1000,300,9.603796,6.357537,0,5,5,0,TRUE,FALSE,0.8736,100.5130954,25.8378,26.0911,0.2533,-3.3501221,Incomplete aspiration and dispense,,13
Viscosity_std_1275,p1000,1000,4.416201,6.749344,0,5,5,0,TRUE,FALSE,0.8736,420.7422261,21.4752,22.3705,0.8953,2.483974359,Within Tolerance,,14
Viscosity_std_1275,p1000,500,5.186017,19.010559,0,5,5,0,TRUE,FALSE,0.8736,145.9136159,22.3705,22.7732,0.4027,-7.806776557,Incomplete aspiration and dispense,,14
Viscosity_std_1275,p1000,300,11.622694,5.60471,0,5,5,0,TRUE,FALSE,0.8736,99.44123936,26.0911,26.34,0.2489,-5.028998779,Incomplete aspiration and dispense,,14
Viscosity_std_1275,p1000,1000,26.853748,10.492098,0,5,5,0,TRUE,FALSE,0.8736,149.5494585,22.9925,23.7394,0.7469,-14.50320513,Incomplete aspiration and dispense,Large air bubble,15
Viscosity_std_1275,p1000,500,9.548498,25.792442,0,5,5,0,TRUE,FALSE,0.8736,92.18556261,23.7394,24.1162,0.3768,-13.73626374,Incomplete aspiration and dispense,,15
Viscosity_std_1275,p1000,300,6.37079,9.721724,0,5,5,0,TRUE,FALSE,0.8736,101.5766191,26.34,26.594,0.254,-3.083028083,Incomplete aspiration and dispense,,15
Viscosity_std_1275,p1000,300,7.974511,6.725232,0,5,5,0,TRUE,FALSE,0.8736,104.7515249,26.5942,26.8481,0.2539,-3.121184371,Incomplete aspiration and dispense,,16
Viscosity_std_1275,p1000,300,4.607484,12.062514,0,5,5,0,TRUE,FALSE,0.8736,111.724884,26.8481,27.0898,0.2417,-7.776251526,Incomplete aspiration and dispense,,17
Viscosity_std_1275,p1000,300,7.276961,8.435313,0,5,5,0,TRUE,FALSE,0.8736,99.71635795,27.0898,27.3428,0.253,-3.464590965,Incomplete aspiration and dispense,,18
Viscosity_std_1275,p1000,300,10.440661,4.763605,0,5,5,0,TRUE,FALSE,0.8736,114.4649973,27.3428,27.5995,0.2567,-2.052808303,Within Tolerance,,19
