,liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,iteration,liquid_level,density,time,m,%error,time_asp_1000,acq_value
0,Viscosity_std_204,rLine1000,300,169.0,169.0,10,10,1,48.46512316516749,0.8639,61.72981905937195,0.2310400488059022,-10.853860861248515,31.83431952662722,
1,Viscosity_std_204,rLine1000,500,169.0,169.0,10,10,1,47.63197558275747,0.8639,64.10976195335388,0.3598780982220089,-16.685241758997826,31.83431952662722,
2,Viscosity_std_204,rLine1000,1000,169.0,169.0,10,10,1,45.98649392746641,0.8639,69.9709255695343,0.7107658010029707,-17.72591723544731,31.83431952662722,
3,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",169.0,169.0,10,10,1,45.98649392746641,0.8639,NaN,NaN,-15.088339951897884,31.83431952662722,
4,Viscosity_std_204,rLine1000,300,211.25,211.25,10,10,2,45.42938678018722,0.8639,60.99786400794983,0.2406424322672473,-7.148808786801185,29.467455621301774,
5,Viscosity_std_204,rLine1000,500,211.25,211.25,10,10,2,44.63766381641837,0.8639,62.95160675048828,0.3419847341999573,-20.8277036231144,29.467455621301774,
6,Viscosity_std_204,rLine1000,1000,211.25,211.25,10,10,2,43.08211541299812,0.8639,67.8441321849823,0.6719191328573769,-22.222579828987502,29.467455621301774,
7,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",211.25,211.25,10,10,2,43.08211541299812,0.8639,NaN,NaN,-16.73303074630103,29.467455621301774,
8,Viscosity_std_204,rLine1000,300,211.25,16.900000000000002,10,10,3,42.501732217785374,0.8639,77.63726568222046,0.250696521172146,-3.269467464542187,83.90532544378698,
9,Viscosity_std_204,rLine1000,500,211.25,16.900000000000002,10,10,3,41.55183332827676,0.8639,90.3033812046051,0.4103088253232467,-5.010111049138384,83.90532544378698,
10,Viscosity_std_204,rLine1000,1000,211.25,16.900000000000002,10,10,3,39.56857911072675,0.8639,122.48528003692628,0.8566666592707242,-0.8372891224998078,83.90532544378698,
11,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",211.25,16.900000000000002,10,10,3,39.56857911072675,0.8639,NaN,NaN,-3.0389558787267927,83.90532544378698,
12,Viscosity_std_204,rLine1000,300,16.900000000000002,211.25,10,10,4,39.11118790213101,0.8639,77.87502312660217,0.1975701325529281,-23.768131900710685,83.90532544378698,
13,Viscosity_std_204,rLine1000,500,16.900000000000002,211.25,10,10,4,38.343786721782585,0.8639,90.64728999137878,0.3314789398515053,-23.25988196515677,83.90532544378698,
14,Viscosity_std_204,rLine1000,1000,16.900000000000002,211.25,10,10,4,36.79505246572839,0.8639,122.67844080924988,0.6689757619026095,-22.56328719729025,83.90532544378698,
15,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",16.900000000000002,211.25,10,10,4,36.79505246572839,0.8639,NaN,NaN,-23.1971003543859,83.90532544378698,
16,Viscosity_std_204,rLine1000,300,16.900000000000002,16.900000000000002,10,10,5,36.21578247280812,0.8639,94.4450433254242,0.2502156734419117,-3.4550011799545683,138.34319526627218,
17,Viscosity_std_204,rLine1000,500,16.900000000000002,16.900000000000002,10,10,5,35.19420010234472,0.8639,118.06804490089417,0.4412725049216665,2.1582370463401954,138.34319526627218,
18,Viscosity_std_204,rLine1000,1000,16.900000000000002,16.900000000000002,10,10,5,33.22329231022034,0.8639,177.28728985786438,0.8513336208081258,-1.4546103937810162,138.34319526627218,
19,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",16.900000000000002,16.900000000000002,10,10,5,33.22329231022034,0.8639,NaN,NaN,-2.35594954002526,138.34319526627218,
20,Viscosity_std_204,rLine1000,300,146.4500485215802,38.77549992306158,10,10,6,33.44478192327773,0.8639,68.84903478622437,0.23982644824018318,-7.463653879622191,52.61774729355693,77.04884716149866
21,Viscosity_std_204,rLine1000,500,146.4500485215802,38.77549992306158,10,10,6,32.500280378217475,0.8639,75.44991755485535,0.4079774423887775,-5.5498454939744235,52.61774729355693,77.04884716149866
22,Viscosity_std_204,rLine1000,1000,146.4500485215802,38.77549992306158,10,10,6,30.638533877561184,0.8639,91.8605272769928,0.8041814009584853,-6.912674967185399,52.61774729355693,77.04884716149866
23,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",146.4500485215802,38.77549992306158,10,10,6,30.638533877561184,0.8639,NaN,NaN,-6.642058113594004,52.61774729355693,77.04884716149866
24,Viscosity_std_204,rLine1000,300,201.11230227206835,85.57014150442556,10,10,7,30.106052114327635,0.8639,64.17623353004456,0.23000549762873151,-11.253039461075161,36.658665584694084,39.444882192516026
25,Viscosity_std_204,rLine1000,500,201.11230227206835,85.57014150442556,10,10,7,29.181723144143128,0.8639,67.64828062057495,0.3992638986711987,-7.5671029815490884,36.658665584694084,39.444882192516026
26,Viscosity_std_204,rLine1000,1000,201.11230227206835,85.57014150442556,10,10,7,27.397732136946026,0.8639,76.09451079368591,0.7705949155587877,-10.800449640144961,36.658665584694084,39.444882192516026
27,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",201.11230227206835,85.57014150442556,10,10,7,27.397732136946026,0.8639,NaN,NaN,-9.873530694256404,36.658665584694084,39.444882192516026
28,Viscosity_std_204,rLine1000,300,77.39714890490286,26.905335274757817,10,10,8,26.805137449918863,0.8639,74.41902565956116,0.2559712750613827,-1.234218828806319,70.08772208970662,22.91614236779588
29,Viscosity_std_204,rLine1000,500,77.39714890490286,26.905335274757817,10,10,8,25.81381394176908,0.8639,84.53327202796936,0.4282021893452982,-0.8676491850218339,70.08772208970662,22.91614236779588
30,Viscosity_std_204,rLine1000,1000,77.39714890490286,26.905335274757817,10,10,8,23.905144277814856,0.8639,109.66375494003296,0.8244498613450273,-4.566516802288773,70.08772208970662,22.91614236779588
31,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",77.39714890490286,26.905335274757817,10,10,8,23.905144277814856,0.8639,NaN,NaN,-2.222794938705642,70.08772208970662,22.91614236779588
32,Viscosity_std_204,rLine1000,300,59.13974970798009,57.592725503351545,10,10,9,23.352962207344792,0.8639,69.81992840766907,0.23851504533954426,-7.969654921655958,54.27240496517001,24.158973828063093
33,Viscosity_std_204,rLine1000,500,59.13974970798009,57.592725503351545,10,10,9,22.40134291429326,0.8639,76.8743588924408,0.41105195363360886,-4.83807069484689,54.27240496517001,24.158973828063093
34,Viscosity_std_204,rLine1000,1000,59.13974970798009,57.592725503351545,10,10,9,20.539157879400538,0.8639,93.98690056800842,0.8043708258219109,-6.8907482553639445,54.27240496517001,24.158973828063093
35,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",59.13974970798009,57.592725503351545,10,10,9,20.539157879400538,0.8639,NaN,NaN,-6.56615795728893,54.27240496517001,24.158973828063093
36,Viscosity_std_204,rLine1000,300,89.81808980945497,22.50724879987538,10,10,10,19.962148024468014,0.8639,76.64463210105896,0.24923940683810275,-3.83169084457972,75.5637450829488,25.444575668702583
37,Viscosity_std_204,rLine1000,500,89.81808980945497,22.50724879987538,10,10,10,18.986847882649304,0.8639,87.5902156829834,0.42128089625859255,-2.469985818128823,75.5637450829488,25.444575668702583
38,Viscosity_std_204,rLine1000,1000,89.81808980945497,22.50724879987538,10,10,10,17.061345250696757,0.8639,115.44100260734558,0.8317208618719033,-3.7248684023725778,75.5637450829488,25.444575668702583
39,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",89.81808980945497,22.50724879987538,10,10,10,17.061345250696757,0.8639,NaN,NaN,-3.342181688360373,75.5637450829488,25.444575668702583
