,liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,time_asp_1000,acq_value
0,Viscous_std_505,rLine1000,1000,107.42,107.42,False,10,10,0,0.8683,77.29285216331482,0.6614279096522655,-23.82495570053374,38.61850679575498,
1,Viscous_std_505,rLine1000,500,107.42,107.42,False,10,10,0,0.8683,67.62011456489563,0.4212080405418904,-2.980988012924002,38.61850679575498,
2,Viscous_std_505,rLine1000,300,107.42,107.42,False,10,10,0,0.8683,64.09515166282654,0.2596286320398313,-0.3306721794190656,38.61850679575498,
3,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",107.42,107.42,False,10,10,0,0.8683,77.29285216331482,0.6614279096522655,-9.045538630958935,38.61850679575498,
4,Viscous_std_505,rLine1000,1000,134.275,134.275,False,10,10,0,0.8683,73.39270615577698,0.6466236280183857,-25.529928824325037,34.89480543660398,
5,Viscous_std_505,rLine1000,500,134.275,134.275,False,10,10,0,0.8683,66.07022261619568,0.4227671528793167,-2.621869658109702,34.89480543660398,
6,Viscous_std_505,rLine1000,300,134.275,134.275,False,10,10,0,0.8683,63.0184965133667,0.24220154460467372,-7.020789817392714,34.89480543660398,
7,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",134.275,134.275,False,10,10,0,0.8683,73.39270615577698,0.6466236280183857,-11.724196099942484,34.89480543660398,
8,Viscous_std_505,rLine1000,1000,134.275,10.742,False,10,10,0,0.8683,159.45989084243774,0.8491770915937418,-2.2023388697752146,120.53993669707688,
9,Viscous_std_505,rLine1000,500,134.275,10.742,False,10,10,0,0.8683,110.20724582672119,0.4257688084074459,-1.930482918934486,120.53993669707688,
10,Viscous_std_505,rLine1000,300,134.275,10.742,False,10,10,0,0.8683,89.05914235115051,0.26315484872821604,1.0230138309401666,120.53993669707688,
11,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",134.275,10.742,False,10,10,0,0.8683,159.45989084243774,0.8491770915937418,-1.7186118732166225,120.53993669707688,
12,Viscous_std_505,rLine1000,1000,10.742,134.275,False,10,10,0,0.8683,159.89381432533264,0.6389300643346371,-26.415977849287447,120.53993669707688,
13,Viscous_std_505,rLine1000,500,10.742,134.275,False,10,10,0,0.8683,109.35003709793091,0.4099299755963955,-5.578722654291026,120.53993669707688,
14,Viscous_std_505,rLine1000,300,10.742,134.275,False,10,10,0,0.8683,89.06273698806763,0.23478483264439345,-9.868005434222637,120.53993669707688,
15,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",10.742,134.275,False,10,10,0,0.8683,159.89381432533264,0.6389300643346371,-13.95423531260037,120.53993669707688,
16,Viscous_std_505,rLine1000,1000,10.742,10.742,False,10,10,0,0.8683,245.783518075943,0.8656279124250904,-0.30773782965674934,206.1850679575498,
17,Viscous_std_505,rLine1000,500,10.742,10.742,False,10,10,0,0.8683,152.4349148273468,0.44060223232800655,1.4861758212614462,206.1850679575498,
18,Viscous_std_505,rLine1000,300,10.742,10.742,False,10,10,0,0.8683,115.28640699386597,0.24450378525246208,-6.136978289968106,206.1850679575498,
19,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",10.742,10.742,False,10,10,0,0.8683,245.783518075943,0.8656279124250904,-2.6436306469621003,206.1850679575498,
20,Viscous_std_505,rLine1000,1000,101.59757088800241,31.772099598929287,False,10,10,0,0.8683,100.67368483543396,0.7728534427765549,-10.992347946959011,61.31691040629445,71.4436866530226
21,Viscous_std_505,rLine1000,500,101.59757088800241,31.772099598929287,False,10,10,0,0.8683,80.11063289642334,0.41578757521924953,-4.2295116390073595,61.31691040629445,71.4436866530226
22,Viscous_std_505,rLine1000,300,101.59757088800241,31.772099598929287,False,10,10,0,0.8683,71.93440079689026,0.22964121904522064,-11.842597011316887,61.31691040629445,71.4436866530226
23,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",101.59757088800241,31.772099598929287,False,10,10,0,0.8683,100.67368483543396,0.7728534427765549,-9.021485532427752,61.31691040629445,71.4436866530226
24,Viscous_std_505,rLine1000,1000,54.06532203467191,12.317800557506272,False,10,10,0,0.8683,159.54047632217407,0.8383070186617787,-3.454218742165295,119.67946885472374,27.43163871370593
25,Viscous_std_505,rLine1000,500,54.06532203467191,12.317800557506272,False,10,10,0,0.8683,109.53031826019287,0.4273279207448722,-1.5713645641201863,119.67946885472374,27.43163871370593
26,Viscous_std_505,rLine1000,300,54.06532203467191,12.317800557506272,False,10,10,0,0.8683,89.68294286727905,0.2465437453201227,-5.353854151743756,119.67946885472374,27.43163871370593
27,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",54.06532203467191,12.317800557506272,False,10,10,0,0.8683,159.54047632217407,0.8383070186617787,-3.4598124860097457,119.67946885472374,27.43163871370593
28,Viscous_std_505,rLine1000,1000,52.65882826619223,68.35378131260816,False,10,10,0,0.8683,93.48373579978943,0.7105035204228429,-18.173036920091793,53.61993663448383,22.179414769308256
29,Viscous_std_505,rLine1000,500,52.65882826619223,68.35378131260816,False,10,10,0,0.8683,76.68124151229858,0.42066890823829456,-3.1051691262709715,53.61993663448383,22.179414769308256
30,Viscous_std_505,rLine1000,300,52.65882826619223,68.35378131260816,False,10,10,0,0.8683,69.86873483657837,0.24906455311801756,-4.386136466652247,53.61993663448383,22.179414769308256
31,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",52.65882826619223,68.35378131260816,False,10,10,0,0.8683,93.48373579978943,0.7105035204228429,-8.55478083767167,53.61993663448383,22.179414769308256
32,Viscous_std_505,rLine1000,1000,131.01412631221396,68.72924982530996,False,10,10,0,0.8683,82.15822005271912,0.7240983971594668,-16.607348018027544,42.1826107018053,16.592482455556322
33,Viscous_std_505,rLine1000,500,131.01412631221396,68.72924982530996,False,10,10,0,0.8683,71.03727865219116,0.41116852278033217,-5.293441718223613,42.1826107018053,16.592482455556322
34,Viscous_std_505,rLine1000,300,131.01412631221396,68.72924982530996,False,10,10,0,0.8683,66.7222580909729,0.24795714622414466,-4.811260998831178,42.1826107018053,16.592482455556322
35,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",131.01412631221396,68.72924982530996,False,10,10,0,0.8683,82.15822005271912,0.7240983971594668,-8.90401691169411,42.1826107018053,16.592482455556322
36,Viscous_std_505,rLine1000,1000,90.16590085966699,14.603795697637835,False,10,10,0,0.8683,139.90986490249634,0.8524264565586581,-1.828117406580887,99.56601572104486,20.819629913208736
37,Viscous_std_505,rLine1000,500,90.16590085966699,14.603795697637835,False,10,10,0,0.8683,100.0118989944458,0.41852695016725083,-3.5985373333523314,99.56601572104486,20.819629913208736
38,Viscous_std_505,rLine1000,300,90.16590085966699,14.603795697637835,False,10,10,0,0.8683,84.00985527038574,0.24440178724907924,-6.176134496879251,99.56601572104486,20.819629913208736
39,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",90.16590085966699,14.603795697637835,False,10,10,0,0.8683,139.90986490249634,0.8524264565586581,-3.867596412270823,99.56601572104486,20.819629913208736
